sport,source,file,row_count,eligible_count,date_min,date_max,market_types,missing_event_key_count,missing_matchup_key_count,missing_player_key_count,notes
NBA,action_nba,out/normalized_action_nba.json,58,52,2026-04-23,2026-04-23,moneyline|player_prop|spread|team_total|total,0,0,0,
NBA,bettingpros_experts_nba,out/normalized_bettingpros_experts_nba.json,0,0,,,,0,0,0,
NBA,bettingpros_prop_bets_nba,out/normalized_bettingpros_prop_bets_nba.json,59,59,2026-04-21,2026-04-21,player_prop,0,0,0,
NBA,betql_model_nba,out/normalized_betql_model_nba.json,0,0,,,,0,0,0,
NBA,betql_prop_nba,out/normalized_betql_prop_nba.json,6,6,2026-04-23,2026-04-23,player_prop,0,0,0,
NBA,betql_sharp_nba,out/normalized_betql_sharp_nba.json,12,1,2026-04-23,2026-04-24,spread|total,0,0,0,
NBA,betql_spread_nba,out/normalized_betql_spread_nba.json,12,2,2026-04-23,2026-04-24,spread,0,0,0,
NBA,betql_total_nba,out/normalized_betql_total_nba.json,12,4,2026-04-23,2026-04-24,total,0,0,0,
NBA,covers_nba,out/normalized_covers_nba.json,11,11,2026-04-23,2026-04-23,player_prop,0,0,0,
NBA,dimers_nba,out/normalized_dimers_nba.json,3,3,2026-04-23,2026-04-23,moneyline|player_prop,0,0,0,
NBA,juicereel_nba,out/normalized_juicereel_nba.json,0,0,,,,0,0,0,
NBA,oddstrader_nba,out/normalized_oddstrader_nba.json,23,10,2026-04-23,2026-04-25,moneyline|spread|total,0,0,0,
NBA,oddstrader_prop_nba,out/normalized_oddstrader_prop_nba.json,90,90,2026-04-23,2026-04-25,player_prop,0,0,0,
NBA,sportscapping_nba,out/normalized_sportscapping_nba.json,0,0,,,,0,0,0,
NBA,sportsline_nba,out/normalized_sportsline_nba.json,12,12,2026-04-23,2026-04-24,moneyline|player_prop|spread,0,0,0,
NBA,vegasinsider_nba,out/normalized_vegasinsider_nba.json,18,18,2026-04-23,2026-04-25,moneyline|player_prop|spread|total,0,0,0,
NBA,action_nba_backfill,out/normalized_action_nba_backfill.jsonl,0,0,,,,0,0,0,optional backfill/history
NBA,juicereel_backfill_nba,out/normalized_juicereel_backfill_nba.json,0,0,,,,0,0,0,optional backfill/history
NBA,sportsline_expert_pages_nba_canonical,out/normalized_sportsline_expert_pages_nba_canonical.jsonl,195,195,2026-04-10,2026-04-27,1st_half_spread|moneyline|player_prop|spread|team_total|total,0,0,0,optional backfill/history
NBA,sportsline_nba_backfill,out/normalized_sportsline_nba_backfill.jsonl,0,0,,,,0,0,0,optional backfill/history
NBA,sportsline_nba_expert_picks,out/normalized_sportsline_nba_expert_picks.jsonl,0,0,,,,0,0,0,optional backfill/history
NBA,sportsline_nba_history,out/normalized_sportsline_nba_history.jsonl,0,0,,,,0,0,0,optional backfill/history
NBA,nba_v1,out/consensus_nba_v1.json,288,0,2026-04-21,2026-04-25,moneyline|player_prop|spread|total,13,23,0,
NBA,nba_hard,out/consensus_nba_hard.json,51,0,2026-04-23,2026-04-25,moneyline|player_prop|spread|total,0,0,0,optional consensus variant
NBA,nba_soft,out/consensus_nba_soft.json,3,0,2026-04-23,2026-04-23,,3,0,0,optional consensus variant
NBA,nba_solo,out/consensus_nba_solo.json,266,0,2026-04-21,2026-04-25,moneyline|player_prop|spread|total,0,0,0,optional consensus variant
NBA,nba_within,out/consensus_nba_within.json,281,0,2026-04-21,2026-04-25,,281,281,0,optional consensus variant
NBA,signals_latest,data/ledger/signals_latest.jsonl,1820,0,2026-04-10,2026-04-25,1st_half_spread|moneyline|player_prop|spread|team_total|total,24,78,11,
NBA,signals_occurrences,data/ledger/signals_occurrences.jsonl,2138,0,2026-04-10,2026-04-25,1st_half_spread|moneyline|player_prop|spread|team_total|total,30,90,11,ledger history
NBA,picks_2026-04-10,web/data/private/picks_2026-04-10.json,54,,2026-04-10,2026-04-10,,,,,web export; exported_count=55
NBA,history_2026-04-10,web/data/private/history/history_2026-04-10.json,37,,2026-04-10,2026-04-10,,,,,web export; exported_count=55
NBA,picks_2026-04-11,web/data/private/picks_2026-04-11.json,0,0,,,,0,0,0,web private picks export; missing file
NBA,history_2026-04-11,web/data/private/history/history_2026-04-11.json,0,0,,,,0,0,0,web private history export; missing file
NBA,picks_2026-04-12,web/data/private/picks_2026-04-12.json,0,0,,,,0,0,0,web private picks export; missing file
NBA,history_2026-04-12,web/data/private/history/history_2026-04-12.json,0,0,,,,0,0,0,web private history export; missing file
NBA,picks_2026-04-13,web/data/private/picks_2026-04-13.json,0,0,,,,0,0,0,web private picks export; missing file
NBA,history_2026-04-13,web/data/private/history/history_2026-04-13.json,0,0,,,,0,0,0,web private history export; missing file
NBA,picks_2026-04-14,web/data/private/picks_2026-04-14.json,40,,2026-04-14,2026-04-14,,,,,web export; exported_count=41
NBA,history_2026-04-14,web/data/private/history/history_2026-04-14.json,32,,2026-04-14,2026-04-14,,,,,web export; exported_count=41
NBA,picks_2026-04-15,web/data/private/picks_2026-04-15.json,39,,2026-04-15,2026-04-15,,,,,web export; exported_count=39
NBA,history_2026-04-15,web/data/private/history/history_2026-04-15.json,34,,2026-04-15,2026-04-15,,,,,web export; exported_count=39
NBA,picks_2026-04-16,web/data/private/picks_2026-04-16.json,0,0,,,,0,0,0,web private picks export; missing file
